,head,variable,value,prob,tail
18,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_14,0.4067933683784877,topic_14
19,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,l_text_topics,topic_13,0.0752122927618277,topic_13
20,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,l_text_topics,topic_5,0.5441771128184392,topic_5
21,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,l_text_topics,topic_8,0.0934088152042054,topic_8
22,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,l_text_topics,topic_8,0.0146583097452486,topic_8
23,Course2_W8-S3-L2_Generating_Snippets,l_text_topics,topic_6,0.0392236150424585,topic_6
24,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_3,0.0469065911847958,topic_3
25,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_5,0.0809745248685806,topic_5
26,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_4,0.2198746461787303,topic_4
27,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_8,0.3495754144763445,topic_8
28,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_3,0.0662151233319854,topic_3
29,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_3,0.908714112414072,topic_3
30,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_11,0.1510311362717347,topic_11
31,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_13,0.2404973716134249,topic_13
32,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_2,0.4740194096239385,topic_2
33,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,l_text_topics,topic_14,0.2981196926809543,topic_14
34,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,l_text_topics,topic_12,0.7040032349373231,topic_12
35,Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52,l_text_topics,topic_13,0.9982814395471088,topic_13
36,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_0,0.2899312575818843,topic_0
37,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,l_text_topics,topic_5,0.1070562070359886,topic_5
38,Course2_W2-S1-L5_Smoothing-_Add-One_6-30,l_text_topics,topic_3,0.0580266882329154,topic_3
39,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_2,0.6745855236554792,topic_2
40,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,l_text_topics,topic_8,0.0,topic_8
41,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_12,0.9216538617064296,topic_12
42,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,l_text_topics,topic_14,0.8513950667205823,topic_14
43,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,l_text_topics,topic_13,0.4599676506267691,topic_13
44,Course1_W9-S1-L1_Introduction_0-36,l_text_topics,topic_3,0.3681763040841084,topic_3
45,Course2_W6-S1-L4_CKY_Example_21-52,l_text_topics,topic_13,0.1006874241811564,topic_13
46,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_3,0.0993732308936514,topic_3
47,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,l_text_topics,topic_6,0.5877476748887991,topic_6
48,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_5,0.0407399919126566,topic_5
49,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,l_text_topics,topic_4,0.8377476748887991,topic_4
50,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,l_text_topics,topic_2,0.0595430651031136,topic_2
51,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,l_text_topics,topic_3,0.9980792559644158,topic_3
52,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,l_text_topics,topic_8,0.9985847149211484,topic_8
53,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_3,0.156490093004448,topic_3
54,Course3_W1-S1-L3_-_Funny_Sentences_-_10_slides_06-35,l_text_topics,topic_12,0.3031742822482814,topic_12
55,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_2,0.447836635665184,topic_2
56,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,l_text_topics,topic_0,0.1409219571370804,topic_0
57,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,l_text_topics,topic_0,0.0672260412454508,topic_0
58,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,l_text_topics,topic_5,0.1857056207035989,topic_5
59,Course2_W6-S1-L3_CKY_Parsing_23-25,l_text_topics,topic_2,0.4934290335624747,topic_2
60,Course3_W6-S1-L7_-_Word_Sense_Disambiguation_-_15_slides_20-06,l_text_topics,topic_12,0.3776789324706833,topic_12
61,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_5,0.2854832187626365,topic_5
62,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,l_text_topics,topic_11,0.0551961180752123,topic_11
63,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_3,0.004852405984634,topic_3
64,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,l_text_topics,topic_3,0.1439547108774767,topic_3
65,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_8,0.0116255560048524,topic_8
66,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,l_text_topics,topic_8,0.170845127375657,topic_8
67,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,l_text_topics,topic_14,0.1884350990699555,topic_14
68,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_12,0.781843914274161,topic_12
69,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,l_text_topics,topic_2,0.7106752931661949,topic_2
70,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_6,0.3147998382531338,topic_6
71,Course1_W5-S2-L1_Introduction_3-24,l_text_topics,topic_14,0.2992317023857663,topic_14
72,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_5,0.0094015365952284,topic_5
73,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,l_text_topics,topic_4,0.9152850788515972,topic_4
74,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_5,0.0276991508289526,topic_5
75,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_4,0.20380105135463,topic_4
76,Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49,l_text_topics,topic_6,0.0466033158107561,topic_6
77,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_3,0.9976748887990294,topic_3
78,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,l_text_topics,topic_2,0.0966437525272947,topic_2
79,Course2_W1-S2-L3_Word_Tokenization_14-26,l_text_topics,topic_5,0.107864941366761,topic_5
80,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,l_text_topics,topic_3,0.1041245450869389,topic_3
81,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,l_text_topics,topic_8,0.7977153255155681,topic_8
82,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,l_text_topics,topic_3,0.2698139911039223,topic_3
83,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_2,0.0631823695915891,topic_2
84,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,l_text_topics,topic_3,0.0846138293570562,topic_3
85,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,l_text_topics,topic_6,0.0660129397492923,topic_6
86,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_8,0.1231298018600889,topic_8
87,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_5,0.1776182773958754,topic_5
88,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,l_text_topics,topic_14,0.0149615851192883,topic_14
89,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,l_text_topics,topic_12,0.0496360695511524,topic_12
90,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,l_text_topics,topic_10,0.1813586736756975,topic_10
91,Course1_W4-S2-L1_Introduction_00-17,l_text_topics,topic_5,0.0402345329559239,topic_5
92,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,l_text_topics,topic_14,0.1737767893247068,topic_14
93,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_8,0.0455923978972907,topic_8
94,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_13,0.1525475131419328,topic_13
95,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,l_text_topics,topic_2,0.6154468257177518,topic_2
96,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_14,0.2873028710068742,topic_14
97,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_3,0.7101698342094622,topic_3
98,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_4,0.9986858067124952,topic_4
99,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_13,0.5125353821269714,topic_13
100,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_4,0.5465022240194096,topic_4
101,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_14,0.0134452082490901,topic_14
102,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,l_text_topics,topic_8,0.2733522038010513,topic_8
103,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_11,0.9989890820865346,topic_11
104,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,l_text_topics,topic_4,0.2450465022240193,topic_4
105,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_13,0.4440962393853619,topic_13
106,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_2,0.5467044076021028,topic_2
107,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_14,0.1081682167408006,topic_14
108,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_3,0.4190254751314193,topic_3
109,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,0.0091993530125353,topic_7
110,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,l_text_topics,topic_13,0.2574807925596442,topic_13
111,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,l_text_topics,topic_8,0.4949454104326729,topic_8
112,Course1_W6-S1-L1_Introduction_0-41,l_text_topics,topic_6,0.5162757784067934,topic_6
113,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45,l_text_topics,topic_3,0.3767691063485645,topic_3
114,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,l_text_topics,topic_0,0.4654266073594825,topic_0
115,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_2,0.112717347351395,topic_2
116,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,l_text_topics,topic_6,0.6750909826122119,topic_6
117,Course2_W3-S1-L6_Multinomial_Naive_Bayes-_A_Worked_Example_8-58,l_text_topics,topic_14,0.1098867771936918,topic_14
118,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,l_text_topics,topic_11,0.2726445612616255,topic_11
119,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,l_text_topics,topic_2,0.690558026688233,topic_2
120,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,l_text_topics,topic_2,0.1605337646583097,topic_2
121,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_13,0.1270723817226041,topic_13
122,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,l_text_topics,topic_14,0.3785887585928023,topic_14
123,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_3,0.9221593206631622,topic_3
124,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_3,0.312778002426203,topic_3
125,Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,l_text_topics,topic_9,0.3124747270521634,topic_9
126,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,l_text_topics,topic_0,0.8027699150828952,topic_0
127,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_8,0.2775980590376062,topic_8
128,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_7,0.5831985442782046,topic_7
129,Course1_W8-S1-L8_Summary_2-45,l_text_topics,topic_3,0.0492317023857662,topic_3
130,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,l_text_topics,topic_3,0.2510109179134654,topic_3
131,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_5,0.1342498989082086,topic_5
132,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,l_text_topics,topic_3,0.3420946219167003,topic_3
133,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_3,0.1549737161342498,topic_3
134,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_3,0.2585928022644561,topic_3
135,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,l_text_topics,topic_11,0.0867367569753336,topic_11
136,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,l_text_topics,topic_5,0.439648200566114,topic_5
137,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,l_text_topics,topic_3,0.0491306105944197,topic_3
138,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_8,0.7686008896077638,topic_8
139,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_8,0.2330165790537808,topic_8
140,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,l_text_topics,topic_11,0.7365547917509099,topic_11
141,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,l_text_topics,topic_5,0.7099676506267691,topic_5
142,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,l_text_topics,topic_7,0.6151435503437122,topic_7
143,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,l_text_topics,topic_2,0.2149211484027496,topic_2
144,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,l_text_topics,topic_3,0.9620905782450464,topic_3
145,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_13,0.2105742013748483,topic_13
146,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_8,0.2639506672058229,topic_8
147,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_2,0.9460169834209462,topic_2
148,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_3,0.926202992317024,topic_3
149,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_13,0.200465022240194,topic_13
150,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_3,0.3263243024666397,topic_3
151,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,l_text_topics,topic_12,0.4602709260008087,topic_12
152,Course1_W9-S2-L7_Summary_3-01,l_text_topics,topic_3,0.3742418115649009,topic_3
153,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,l_text_topics,topic_8,0.8843509906995553,topic_8
154,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,topic_13,0.3075212292761828,topic_13
155,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_5,0.0627780024262029,topic_5
156,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,l_text_topics,topic_12,0.979478366356652,topic_12
157,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_13,0.3539223615042459,topic_13
158,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_6,0.2964011322280631,topic_6
159,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,l_text_topics,topic_4,0.3315810756166599,topic_4
160,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,l_text_topics,topic_13,0.6250505458956733,topic_13
161,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_13,0.0944197331176708,topic_13
162,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,l_text_topics,topic_6,0.1221188839466235,topic_6
163,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45,l_text_topics,topic_2,0.8453295592397898,topic_2
164,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_3,0.9994945410432674,topic_3
165,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,l_text_topics,topic_5,0.1045289122523251,topic_5
166,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,l_text_topics,topic_14,0.7996360695511525,topic_14
167,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_12,0.0896684189243833,topic_12
168,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_5,0.9966639708855642,topic_5
169,Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_3,0.0422563687828548,topic_3
170,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_3,0.126870198139911,topic_3
171,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_8,0.0417509098261221,topic_8
172,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_14,0.5924989890820865,topic_14
173,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_3,0.0352810351799433,topic_3
174,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,l_text_topics,topic_3,0.040436716538617,topic_3
175,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_9,0.1717549534977759,topic_9
176,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_2,0.1466841892438334,topic_2
177,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_10,0.857662757784068,topic_10
178,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,l_text_topics,topic_2,0.6366761019005257,topic_2
179,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,l_text_topics,topic_4,0.974828143954711,topic_4
180,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_6,0.7373635260816821,topic_6
181,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,l_text_topics,topic_0,0.0470076829761423,topic_0
182,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_8,0.8025677315002022,topic_8
183,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,l_text_topics,topic_5,0.0082895268904165,topic_5
184,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_13,0.0641932875050546,topic_13
185,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,l_text_topics,topic_3,0.1260614638091386,topic_3
186,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,l_text_topics,topic_9,0.8582693085321472,topic_9
187,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_5,0.0928022644561261,topic_5
188,Course2_W6-S1-L3_CKY_Parsing_23-25,l_text_topics,topic_5,0.4362110796603316,topic_5
189,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,l_text_topics,topic_0,0.1609381318236959,topic_0
190,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,l_text_topics,topic_8,0.9392438334007278,topic_8
191,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,l_text_topics,topic_8,0.0709664375252729,topic_8
192,Course2_W4-S1-L5_Generative_vs,l_text_topics,topic_14,0.7606146380913871,topic_14
193,Course2_W1-S2-L1_Regular_Expressions_11-25,l_text_topics,topic_0,0.3452284674484432,topic_0
194,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,l_text_topics,topic_4,0.9333805095026284,topic_4
195,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,l_text_topics,topic_5,0.0472098665588354,topic_5
196,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_5,0.0417509098261221,topic_5
197,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_0,0.030934088152042,topic_0
198,Course1_W8-S1-L7_An_Example_Application_9-28,l_text_topics,topic_10,0.9981803477557624,topic_10
199,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_6,0.3716134249898908,topic_6
200,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_2,0.0107157298827335,topic_2
201,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_5,0.6714516781237364,topic_5
202,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_8,0.5774363121714517,topic_8
203,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_12,0.0506469874646178,topic_12
204,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_12,0.277395875454913,topic_12
205,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,l_text_topics,topic_2,0.0120299231702385,topic_2
206,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_8,0.1110998786898503,topic_8
207,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_13,0.0116255560048524,topic_13
208,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,l_text_topics,topic_3,0.3465426607359482,topic_3
209,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_3,0.6146380913869794,topic_3
210,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,l_text_topics,topic_3,0.71461787302871,topic_3
211,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_0,0.4493530125353822,topic_0
212,Course2_W2-S1-L6_Interpolation_10-25,l_text_topics,topic_9,0.1451678123736352,topic_9
213,Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,topic_13,0.6658916295996765,topic_13
214,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_4,0.5751112009704812,topic_4
215,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,l_text_topics,topic_2,0.8463404771532551,topic_2
216,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_4,0.994035584310554,topic_4
217,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_6,0.0127375657096643,topic_6
218,Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55,l_text_topics,topic_8,0.4697735543873838,topic_8
219,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_12,0.1109987868985038,topic_12
220,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,l_text_topics,topic_14,0.4611807521229276,topic_14
221,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_3,0.1191872219975738,topic_3
222,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_2,0.0709664375252729,topic_2
223,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_8,0.5999797816417307,topic_8
224,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_13,0.3502830570157704,topic_13
